shorthand,target,x1,y1,x2,y2
s1s1,servant1_skill1,239,815,,
s1s2,servant1_skill2,364,815,,
s1s3,servant1_skill3,485,815,,
s2s1,servant2_skill1,645,815,,
s2s2,servant2_skill2,762,815,,
s2s3,servant2_skill3,882,815,,
s3s1,servant3_skill1,1051,815,,
s3s2,servant3_skill2,1170,815,,
s3s3,servant3_skill3,1285,815,,
msb,master_skill_button,1668,483,,
ms1,master_skill1,1300,483,,
ms2,master_skill2,1415,483,,
ms3,master_skill3,1530,483,,
tt1,target_team1,569,670,,
tt2,target_team2,986,670,,
tt3,target_team3,1335,670,,
np1,NP1,637,343,,
np2,NP2,949,343,,
np3,NP3,1275,343,,
attack,attack_button,1589, 852,,
changes1,atlas_switch,848,523,,
changes2,atlas_switch2,558,523,,
changes3,atlas_switch3,836,523,,
changes4,atlas_switch4,1086,523,,
changes5,atlas_switch5,1336,523,,
changes6,atlas_switch6,1600,523,,
replace,atlas_replace,971,872,,
targetEnemy1,target_enemy1,882,140,,
targetEnemy2,target_enemy2,518,140,,
targetEnemy3,target_enemy3,215,140,,
